batch size,context size,SM count,milliseconds
1,8,8,0.1572736009955406
1,8,16,0.13278720229864122
1,8,32,0.1084864005446434
1,8,48,0.1040000006556511
1,8,64,0.10227200090885162
1,8,96,0.10949119925498962
1,8,128,0.10248960107564926
1,8,132,0.10602239966392517
1,1024,8,0.15078399777412416
1,1024,16,0.11711999922990798
1,1024,32,0.11740800142288207
1,1024,48,0.11068159937858582
1,1024,64,0.11403519958257675
1,1024,96,0.11266560107469559
1,1024,128,0.11304959952831269
1,1024,132,0.10977279841899872
1,2048,8,0.18579840064048767
1,2048,16,0.13164800107479097
1,2048,32,0.10975360125303268
1,2048,48,0.11306879818439483
1,2048,64,0.11148159801959992
1,2048,96,0.11265920102596283
1,2048,128,0.11390720158815384
1,2048,132,0.11134079992771148
1,4096,8,0.30050560235977175
1,4096,16,0.18915200233459473
1,4096,32,0.13448960185050965
1,4096,48,0.11729919910430908
1,4096,64,0.11566720008850098
1,4096,96,0.11891199946403504
1,4096,128,0.11498239934444428
1,4096,132,0.12120959907770157
1,8192,8,0.5281024098396301
1,8192,16,0.3082688093185425
1,8192,32,0.19313279986381532
1,8192,48,0.16490880250930787
1,8192,64,0.15965440273284912
1,8192,96,0.1610240012407303
1,8192,128,0.16158079504966735
1,8192,132,0.1614463984966278
1,16384,8,0.9883583903312683
1,16384,16,0.5410752058029175
1,16384,32,0.3087808072566986
1,16384,48,0.25342720448970796
1,16384,64,0.2500479996204376
1,16384,96,0.2540095955133438
1,16384,128,0.2529535949230194
1,16384,132,0.25329280495643614
2,8,8,0.08148480206727982
2,8,16,0.07192320078611374
2,8,32,0.066668801009655
2,8,48,0.0692671999335289
2,8,64,0.0665344014763832
2,8,96,0.06783360093832017
2,8,128,0.06659200042486191
2,8,132,0.06511999890208245
2,1024,8,0.16463359892368318
2,1024,16,0.10654080063104629
2,1024,32,0.07745919972658158
2,1024,48,0.07299839854240417
2,1024,64,0.0667263999581337
2,1024,96,0.06743040084838867
2,1024,128,0.066457599401474
2,1024,132,0.06929919868707657
2,2048,8,0.28183680176734927
2,2048,16,0.16500480175018312
2,2048,32,0.10753920078277587
2,2048,48,0.09265919923782348
2,2048,64,0.08847359865903855
2,2048,96,0.08851199746131896
2,2048,128,0.08785919994115829
2,2048,132,0.08749440014362335
2,4096,8,0.5226431965827942
2,4096,16,0.2874751925468445
2,4096,32,0.1682432025671005
2,4096,48,0.14126719832420348
2,4096,64,0.1322623997926712
2,4096,96,0.13215360045433044
2,4096,128,0.13290239870548248
2,4096,132,0.13141120076179505
2,8192,8,0.9992704033851624
2,8192,16,0.5324288010597229
2,8192,32,0.28906879425048826
2,8192,48,0.23431680202484131
2,8192,64,0.22022400200366973
2,8192,96,0.2229695975780487
2,8192,128,0.2211903989315033
2,8192,132,0.2222335994243622
2,16384,8,1.9595135927200318
2,16384,16,1.0188736200332642
2,16384,32,0.5351935982704162
2,16384,48,0.4211712062358856
2,16384,64,0.3936832010746002
2,16384,96,0.39791999459266664
2,16384,128,0.3987712025642395
2,16384,132,0.3995263993740082
4,8,8,0.06195839941501617
4,8,16,0.06362240090966224
4,8,32,0.06273279935121537
4,8,48,0.06382720023393632
4,8,64,0.06308479979634285
4,8,96,0.06288000047206879
4,8,128,0.0629055991768837
4,8,132,0.06218240037560463
4,1024,8,0.28296319842338563
4,1024,16,0.16636159718036653
4,1024,32,0.10769280195236205
4,1024,48,0.091423998773098
4,1024,64,0.0899392008781433
4,1024,96,0.08570879995822907
4,1024,128,0.08687359988689422
4,1024,132,0.08497920036315917
4,2048,8,0.5188607811927796
4,2048,16,0.2863743960857391
4,2048,32,0.16778880059719087
4,2048,48,0.13791999816894532
4,2048,64,0.13037440180778503
4,2048,96,0.13344640135765076
4,2048,128,0.1300287961959839
4,2048,132,0.1315392017364502
4,4096,8,0.9957504034042358
4,4096,16,0.5303104043006897
4,4096,32,0.28992000222206116
4,4096,48,0.23578240275382994
4,4096,64,0.22007680237293242
4,4096,96,0.2192768007516861
4,4096,128,0.2194751977920532
4,4096,132,0.21974399983882903
4,8192,8,1.9516095876693726
4,8192,16,1.013049602508545
4,8192,32,0.5351680040359497
4,8192,48,0.4193664014339447
4,8192,64,0.39375359416007993
4,8192,96,0.39946240186691284
4,8192,128,0.4005631983280182
4,8192,132,0.4046079993247986
4,16384,8,3.877881574630737
4,16384,16,1.9941247940063476
4,16384,32,1.0235136032104493
4,16384,48,0.8007295966148377
4,16384,64,0.7478464007377624
4,16384,96,0.7563135981559753
4,16384,128,0.7620223999023438
4,16384,132,0.7621247887611389
8,8,8,0.06678399965167045
8,8,16,0.06599680036306381
8,8,32,0.06472959890961646
8,8,48,0.06418559774756431
8,8,64,0.06540160104632378
8,8,96,0.06550400108098983
8,8,128,0.06729600131511689
8,8,132,0.06581759974360465
8,1024,8,0.5223423957824707
8,1024,16,0.28823679089546206
8,1024,32,0.16811520159244536
8,1024,48,0.1395904004573822
8,1024,64,0.13127039968967438
8,1024,96,0.1314496010541916
8,1024,128,0.1323775976896286
8,1024,132,0.14977280497550965
8,2048,8,0.9998720049858093
8,2048,16,0.5324159860610962
8,2048,32,0.29066239595413207
8,2048,48,0.2358464002609253
8,2048,64,0.21932159960269929
8,2048,96,0.2214079976081848
8,2048,128,0.21902720034122466
8,2048,132,0.22129280269145965
8,4096,8,1.9532799959182738
8,4096,16,1.0172735929489136
8,4096,32,0.5352703928947449
8,4096,48,0.42184320092201233
8,4096,64,0.396454393863678
8,4096,96,0.39843199849128724
8,4096,128,0.39923840165138247
8,4096,132,0.4016000032424927
8,8192,8,3.8610495567321776
8,8192,16,1.9884416103363036
8,8192,32,1.0236160039901734
8,8192,48,0.8007488012313843
8,8192,64,0.7462208032608032
8,8192,96,0.755404794216156
8,8192,128,0.7589504003524781
8,8192,132,0.7612159967422485
8,16384,8,7.7089409828186035
8,16384,16,3.929599952697754
8,16384,32,2.001196789741516
8,16384,48,1.5600768089294434
8,16384,64,1.450598382949829
8,16384,96,1.467583990097046
8,16384,128,1.4747136116027832
8,16384,132,1.4792383670806886
16,8,8,0.06516479924321175
16,8,16,0.06407680138945579
16,8,32,0.06254080012440681
16,8,48,0.0642559990286827
16,8,64,0.06449920013546943
16,8,96,0.06529919877648353
16,8,128,0.06516480073332787
16,8,132,0.06600320115685462
16,1024,8,0.9997375845909119
16,1024,16,0.532588791847229
16,1024,32,0.2909567952156067
16,1024,48,0.23587200045585632
16,1024,64,0.22014719545841216
16,1024,96,0.22067199945449828
16,1024,128,0.22137600183486938
16,1024,132,0.22200959622859956
16,2048,8,1.9540992021560668
16,2048,16,1.0189311981201172
16,2048,32,0.5348544001579285
16,2048,48,0.4225088059902191
16,2048,64,0.39605119824409485
16,2048,96,0.400518399477005
16,2048,128,0.401529598236084
16,2048,132,0.4013888120651245
16,4096,8,3.865465593338013
16,4096,16,1.9931583881378174
16,4096,32,1.0268863916397095
16,4096,48,0.8005311965942383
16,4096,64,0.747167992591858
16,4096,96,0.7540544033050537
16,4096,128,0.7597632050514221
16,4096,132,0.7627264022827148
16,8192,8,7.682649707794189
16,8192,16,3.931750440597534
16,8192,32,2.002003216743469
16,8192,48,1.5574143886566163
16,8192,64,1.4525504112243652
16,8192,96,1.4711616039276123
16,8192,128,1.4793471813201904
16,8192,132,1.4790335893630981
16,16384,8,15.334137535095214
16,16384,16,7.837772846221924
16,16384,32,3.964096021652222
16,16384,48,3.0670079708099367
16,16384,64,2.8543423652648925
16,16384,96,2.8966336250305176
16,16384,128,2.913964796066284
16,16384,132,2.9202752113342285
32,8,8,0.06911359950900078
32,8,16,0.06440319865942001
32,8,32,0.067340799421072
32,8,48,0.06611839979887009
32,8,64,0.06390399932861328
32,8,96,0.06392319947481155
32,8,128,0.06565120071172714
32,8,132,0.06647680029273033
32,1024,8,1.9541887998580934
32,1024,16,1.0185216188430786
32,1024,32,0.5375424027442932
32,1024,48,0.42319999933242797
32,1024,64,0.4000703990459442
32,1024,96,0.3985855996608734
32,1024,128,0.4024511992931366
32,1024,132,0.40044800043106077
32,2048,8,3.8683072090148927
32,2048,16,1.9938623905181885
32,2048,32,1.0239295959472656
32,2048,48,0.8003391981124878
32,2048,64,0.748857605457306
32,2048,96,0.7548416018486023
32,2048,128,0.760313606262207
32,2048,132,0.7601599931716919
32,4096,8,7.680172729492187
32,4096,16,3.9352192878723145
32,4096,32,2.0100863456726072
32,4096,48,1.5573439836502074
32,4096,64,1.4490687847137451
32,4096,96,1.4732288360595702
32,4096,128,1.4770047664642334
32,4096,132,1.4783743858337401
32,8192,8,15.332140731811524
32,8192,16,7.817017555236816
32,8192,32,3.9687999725341796
32,8192,48,3.0676032066345216
32,8192,64,2.851353645324707
32,8192,96,2.9002880096435546
32,8192,128,2.914911985397339
32,8192,132,2.9191807746887206
32,16384,8,29.93811149597168
32,16384,16,15.357913589477539
32,16384,32,7.768140888214111
32,16384,48,5.8031871795654295
32,16384,64,5.7182080268859865
32,16384,96,5.898662471771241
32,16384,128,6.008281517028808
32,16384,132,6.030252742767334
64,8,8,0.0763264000415802
64,8,16,0.06585600078105927
64,8,32,0.06979839950799942
64,8,48,0.06503039970993996
64,8,64,0.07011839896440505
64,8,96,0.06619520112872124
64,8,128,0.06574720069766045
64,8,132,0.06585600078105927
64,1024,8,3.773299217224121
64,1024,16,1.9582847833633423
64,1024,32,1.010048007965088
64,1024,48,0.7631103873252869
64,1024,64,0.752569603919983
64,1024,96,0.7767552018165589
64,1024,128,0.7859456181526184
64,1024,132,0.7858560085296631
64,2048,8,7.502112007141113
64,2048,16,3.8656383514404298
64,2048,32,1.9742719650268554
64,2048,48,1.4793919801712037
64,2048,64,1.4613951921463013
64,2048,96,1.5043520212173462
64,2048,128,1.5297279834747315
64,2048,132,1.5310271978378296
64,4096,8,14.968844604492187
64,4096,16,7.687494468688965
64,4096,32,3.90447998046875
64,4096,48,2.918220806121826
64,4096,64,2.8795775890350344
64,4096,96,2.9693631649017336
64,4096,128,3.018764781951904
64,4096,132,3.028467226028442
64,8192,8,29.92342414855957
64,8192,16,15.37237777709961
64,8192,32,7.772735977172852
64,8192,48,5.814028930664063
64,8192,64,5.720460891723633
64,8192,96,5.890719985961914
64,8192,128,6.010111999511719
64,8192,132,6.024384021759033
64,16384,8,59.7777214050293
64,16384,16,30.65604438781738
64,16384,32,15.474457550048829
64,16384,48,11.522770881652832
64,16384,64,11.377581024169922
64,16384,96,11.734617805480957
64,16384,128,11.951526260375976
64,16384,132,12.00508804321289
